rank,game_id,gamename,brandname,sellday,median,count2_get_score,pov_votes
319,20167,ヒダマリノキオク,人生通行止め,2014-01-06,75,26,1
320,40723,もっと!孕ませ!炎のおっぱい異世界 おっぱいスパイ学園,みるくふぁくとりー,2026-07-31,75,25,1
321,18898,P☆A会長は好きですか? ～傲慢セレブ妻へのセックス指導～,平安亭,2013-04-11,75,25,3
322,19272,若妻万華鏡 アニメーション追加完全版,elf,2009-08-28,75,22,3
323,27829,メス堕ち!巨乳水着妻たちとのラブエロスイミング! ～プールで監視員のバイトを始めたら水着の人妻達に囲まれて童貞喪失した!?～,Anim,2019-06-28,75,21,4
324,38235,イチャ姉!,アトリエかぐや,2025-05-30,75,21,1
325,17113,種づけ孕ませ☆魔法少女 ～The_RPG～,アルパカ,2012-04-24,75,20,1
326,31391,Immoral Quartet ～4人の性欲が絡み合う、愛と寝取られの物語～,AVANTGARDE,2021-04-28,75,19,1
327,23326,兄嫁京香さんとその母千佳子さん ～美人妻と美熟母といっしょ❤︎～ 兄嫁京香編,平安亭,2016-03-24,75,18,2
328,24198,HOTOTOGISU ～ULTRA PATRIOT～,つるみく,2016-11-25,75,17,1
329,19661,絆されて… ～空手娘・千鶴の情事～,VENUS,2012-10-03,75,15,1
330,22068,黒獣 ～気高き聖女は白濁に染まる～ ERE,Liquid,2015-06-26,75,15,1
331,19230,とある人妻のネトラレ事情,らすこう(くちなわ),2013-06-26,75,13,1
332,24397,放課後エスカレイション ～思い出をください～,相討ちネガティブギャング,2016-11-08,75,13,2
333,22531,営業部第4課 牝豚調教飼育係,スタジオ奪,2015-10-09,75,13,1
334,19227,セックスアイドル48! ～淫乱娘アイドル化計画～,サボテン,2013-10-24,75,9,1
335,30380,QrinSway03 催眠編,あぶらそば日和,2020-06-12,75,5,1
336,23627,巨乳人妻3P催眠 ～催眠で寝取らせていただきます!～,Studio 邪恋,2016-07-29,75,5,1
337,27509,ひとづま ～愛した女性は人妻でした～,GOKU-RAKU,2019-02-28,75,3,1
338,11230,闘神都市III,ALICESOFT,2008-11-28,74,947,3
339,19029,ココロ@ファンクション!,PULLTOP,2013-10-25,74,546,1
340,3184,最終痴漢電車2,アトリエかぐや,2003-12-19,74,469,1
341,8725,真・燐月,Selen,2007-10-26,74,224,1
342,17789,お兄ちゃんにはぜったい言えないたいせつなこと。,Mink EGO,2013-01-11,74,178,5
343,21820,対魔忍ユキカゼ Animation,Black Lilith,2015-04-24,74,111,1
344,17003,エロティ課 誘惑研修はじまるよ～♥ ～シゴいちゃうから覚悟なさい!～,アトリエかぐや,2012-06-29,74,102,1
345,16782,愛する妻、真理子が隣室で抱かれるまで ～あなたが知らない事、彼がたくさん教えてくれました～,アトリエさくら Team.NTR,2012-04-27,74,96,1
346,20370,ケダモノ（家族）たちの住む家で ～大嫌いな最低家族と彼女との寝取られ同居生活～,pin-point,2014-05-02,74,91,2
347,18049,牝教師3 ～淫悦の学舎～,BISHOP,2013-04-26,74,80,1
348,17310,かがち様お慰め奉ります- Dark night at NTR village -,ORCSOFT,2012-08-10,74,80,5
349,19280,壁の向こうの妻の嬌声 ～愛する妻の肢体はもう、隣の旦那を忘れられない～,ANIM.teamMM,2013-10-25,74,72,3
350,35332,夜勤病棟リメイク,FG REMAKE,2024-02-22,74,64,1
351,18903,淫堕の姫騎士ジャンヌ2 ～美姫転生～ 2つの世界でオーガの仔種を注がれ続ける物語～,catwalkNERO,2013-08-30,74,49,4
352,23162,催眠委員長,include,2016-08-26,74,35,1
353,36806,狙われた優等生 身代わりの代償,SYRUP -many milk-,2024-10-25,74,34,1
354,23980,メス堕ち! 魅惑の人妻ライフ ～年上妻たちとのいちゃらぶ汁だく性活～,Anim,2016-10-28,74,29,1
355,33089,アリサグリモア,さーくるくらすけ倉庫,2022-08-10,74,23,1
356,27824,家庭教師X催眠 ～絶対従順、ワガママJKとハイソ妻を催眠操作～,POISON,2019-08-30,74,22,4
357,25863,メス堕ち! 巨乳妻との癒され愛温泉 ～巨乳妻たちと身も心もふれあうラブエロ性活～,Anim,2017-12-22,74,20,2
358,23954,［黒獣外伝］エルフ村の姦落 ～恥辱と快楽の宴～,HERENCIA,2016-10-28,74,15,1
359,30358,部下俺×女上司/貸し出しプレイ=??? 〜部下の俺に貸し出された人妻女上司、由佳菜〜,アトリエさくら,2021-02-26,74,14,3
360,27163,寝取られ幼妻リアナ ～流されやすい最愛の幼妻のHな日常～,あせろら,2018-09-22,74,14,2
361,27063,元ヤン奥さんとギャル娘ちゃん ～菜緒さんは硬派な元ヤン妻～,平安亭,2018-09-02,74,11,1
362,24519,リンカノ -白濁の輪舞曲-,狼星屋,2016-08-14,74,11,1
363,21434,大催眠ERE,Liquid,2015-01-30,74,9,1
364,27409,膣内射精AV撮影 托卵男に子宮を明け渡す人妻弁護士 ～あなたの子供は堕ろしました～,ファントムソフト,2018-12-21,74,8,1
365,16900,奪母姦,平安亭,2012-04-13,74,4,1
366,32625,DIRTYING 愛しいからこそ寝取って穢す,唐揚げトマト,2022-04-29,74,1,1
367,32627,Fulfilling Days ～彼女にとっての充実した日々～,唐揚げトマト,2021-09-17,74,1,1
368,9854,ヨスガノソラ,Sphere,2008-12-05,73,1223,1
369,2008,Rance IV -教団の遺産-,ALICESOFT,1993-12-11,73,522,1
370,13569,魔界天使ジブリール4,FrontWing,2010-04-23,73,336,4
371,17909,ぜったい遵守☆子作り許可証ぱらだいす!! ～嗚呼、素晴らしき孕ま世界～,softhouse-seal GRANDEE,2013-03-29,73,226,2
372,15121,ジンコウガクエン,ILLUSION(Dreams),2011-06-10,73,156,2
373,18470,義妹だからできること、妹じゃないとダメなこと。,Mink EGO,2013-06-28,73,148,2
374,4540,ふたりの兄嫁,Selen,2005-07-29,73,126,1
375,14609,三射面談 ～連鎖する恥辱・調教の学園～,BISHOP,2011-02-25,73,112,1
376,26557,シャムロックの花言葉,DOLCE,2018-06-29,73,109,1
377,27976,えろまんが! Hもマンガもステップアップ♪ HDリマスター,CLOCKUP,2019-07-26,73,62,1
378,7293,ドキドキ母娘レッスン ～教えて♪Hなお勉強～,TinkerBell,2006-04-14,73,54,1
379,22978,貸し出し妻、満里奈の”ネトラセ”報告3 CASE.元彼氏&敏感妻,アトリエさくら Team.NTR,2016-02-26,73,50,2
380,15068,カスタムレイドV,KISS,2011-06-24,73,42,1
381,21095,今夜、お義父様に抱かれます…,Nomad,2014-11-28,73,38,2
382,33259,愛妻×交姦 妊活スワッピング ～孕み頃の妻たちは子種を求め肉欲の華を咲かせる～,ANIM.teamMM,2022-12-23,73,25,3
383,2478,隷嬢キャスター2,Guilty,2002-12-20,73,24,1
384,25610,夫の居ぬ間に… ～わたし脅されて、あなたに言えないコトしました～,シルキーズSAKURA,2017-10-27,73,20,1
385,22464,ドラゴンアカデミー2,SPLUSH WAVE,2015-08-16,73,19,1
386,23223,奪 ENDING ～人の妻、最後まで売ります～,スタジオ奪,2016-03-11,73,16,2
387,32087,クベルの首枷病+,やさぐれ喫煙所,2022-01-01,73,14,1
388,19609,夜這いゲーム,逆流そふと,2013-07-25,73,12,2
389,15961,平凡な奥さんは好きですか? ～真面目な主婦をエッチ漬けにしちゃおう!～,平安亭,2011-10-06,73,8,2
390,13779,CROSSING KNIGHTMARE 穢れ逝く聖女達への賛歌,KI-SofTWarE,2013-04-26,73,7,1
391,29628,PRINCESS GO ROUND,ミルクフォース,2018-06-26,73,5,1
392,20780,聖騎士オリアーヌ ～敗北の先に待ち受けるもの～,クリメニア,2013-11-06,73,4,1
393,29228,ネトッテヤ,ようかい玉の輿,2019-03-15,73,3,1
394,40717,淫催都市ヒュプノズム,みじいし,2026-04-28,73,1,1
395,13530,大帝国,ALICESOFT,2011-04-28,72,1228,1
396,2640,Rance III -リーザス陥落-,ALICESOFT,1991-11-15,72,388,1
397,7216,淫堕の姫騎士ジャンヌ ～オーガの仔種を注がれる気高き姫!～,catwalkNERO,2006-07-28,72,160,1
398,14626,操心術0,Studio 邪恋,2011-01-28,72,147,1
399,22269,エロ漫画家さんと貧乏姉妹,娘娘,2015-10-30,72,107,4
400,20727,貸し出し妻、満里奈の“ネトラセ”報告2 CASE.元AV男優&敏感妻,アトリエさくら Team.NTR,2014-08-29,72,77,1
401,16882,真・蟻地獄,ALL-TiME,2012-06-22,72,56,1
402,18640,電車内でなう。,Waffle,2013-06-28,72,53,1
403,20792,奪 ～人の妻、売ります～,スタジオ奪,2014-08-22,72,43,5
404,16206,マリッジブルー『婚約者がいるのに、どうしてこんな男に……』,ルネTeamBitters,2012-02-24,72,41,1
405,27041,お前の母ちゃん、良い女だよな。,ORCSOFT,2018-09-21,72,39,1
406,16147,学園淫辱輪舞曲 ～純潔の乙女が淫らな牝へと堕ちるまで～,濡汁,2012-01-27,72,37,1
407,24464,フィットしちゃお! ～年上女性と汗だくレッスン初体験～,WendyBell,2017-03-24,72,28,1
408,18257,息子の友達に堕とされて ～あぁ…私、一人の女に戻ります～,Anim,2013-04-26,72,15,2
409,16136,放課後催眠倶樂部,すたじおちゃれん,2011-10-07,72,15,1
410,21451,ナースの奥さんは好きですか? －世話焼きオバちゃん陥落－,平安亭,2015-01-23,72,12,1
411,30336,死神教団 〜淫森に呑まれた村セグルメット〜,サークル冥魅亭,2021-04-29,72,11,1
412,10286,はじめての誘拐,はりねずみ工房,2007-08-03,72,10,1
413,19721,娼婦さん御一行!,オドントティラヌス,2013-10-12,72,9,1
414,22195,先輩と上司と後輩の奥さんを身も心も寝取る話 ～アフターストーリー＆ハーレムシナリオ～,Anim,2015-06-05,72,5,1
415,16450,SwindleHD,M no VIOLET,2011-12-27,72,5,1
416,19867,デモニオンII ～魔王と三人の女王～,アストロノーツ・シリウス,2014-04-25,71,181,2
417,6151,姫さま凛々しく!,Q-X,2006-06-23,71,147,1
418,10498,裏・催眠術2,BLACKRAINBOW,2008-04-25,71,136,1
419,16285,団地妻となう。,Waffle,2012-02-24,71,83,4
420,16322,堕ちる人妻,Black Lilith,2011-12-23,71,74,10
421,16984,恋妻くずし,夜のひつじ,2012-04-12,71,63,1
422,25722,娘くずし ～父と娘の狂縁～,わるきゅ～れ,2017-11-24,71,62,1
423,27225,正義の変身ヒロインを支える俺と悪の女幹部,Black Lilith,2018-10-19,71,61,1
424,18084,催眠術3,筆柿そふと,2013-09-27,71,61,5
425,25436,神装聖姫エレメンティア ～屈辱の洗脳催眠～,pin-point,2017-08-25,71,59,1
426,21074,流され妻、綾乃の“ネトラレ”報告 －おっとり妻&一晩ぶっ通し超肉食不倫セックス－,アトリエさくら Team.NTR,2014-11-28,71,57,1
427,22677,貞操観念ZERO ～ヤリマン家族とハメ狂い夏休み～,DWARFSOFT,2015-11-13,71,56,1
428,25697,アナスタシアと7人の姫女神 ～淫紋の烙印～,catwalkNERO,2018-04-27,71,54,3
429,7619,demiparadoxia ∽ hookerstic 北上編,Autobahn,2006-03-15,71,42,1
430,17791,お前のオンナを寝取ってやる ～昔ヤったオンナは今は白衣の天使。旦那の前で心も身体も弄んで寝取る～,material,2012-12-21,71,35,9
431,31744,Nightmare×Deathscythe ～叛逆のレゾナンス～,Guilty Nightmare Project,2021-12-24,71,27,1
432,371,Snow Memoria ～忘れえぬ想い～,AIR PLANTS,2000-04-14,71,25,1
433,23213,はらかつ! ～気になるあの子と子作りエッチ～,INTERHEART glossy,2016-04-28,71,25,1
434,13762,団地ワイフ ～人妻ヌードモデルの献身～,Guilty+,2010-04-23,71,24,1
435,26142,俺を欲しがる二人の母,Waffle,2018-03-23,71,24,2
436,22002,ノゾキベヤ,ようかい玉の輿,2015-05-01,71,21,1
437,38751,魔法騎士リーンフォリア,Lusterise,2025-08-29,71,21,1
438,30594,元ヤンキー妻 雛子 〜心身ともに完全寝取り!〜,スタジオポーク,2021-02-15,71,20,3
439,25745,人妻寝取り屋,INTERHEART glossy,2018-01-26,71,16,3
440,8810,胎辱の檻,BLACK PACKAGE TRY,2007-04-13,71,14,1
441,21525,SF,t japan,2013-05-29,71,12,1
442,23148,白の従士と闇の従者,N蔵司ヶ谷,2015-02-28,71,8,1
443,20463,導かれしモノ達の楽園 ～BEDLAM～,BLACK PACKAGE TRY,2014-06-27,71,7,2
444,22289,W悪魔のHなおもてなし ～あなたのミルク私達にちょうだい～,セイバーフィッシュ,2015-07-17,71,4,1
445,39199,会社の女性社員を全員孕ませた話,カナリー,2025-08-08,71,1,1
446,2331,Rance5D -ひとりぼっちの女の子-,ALICESOFT,2002-10-25,70,915,2
447,5149,Tick!Tack!,Navel,2005-09-16,70,486,1
448,1933,妻みぐい,ALICESOFT,2002-03-15,70,428,2
449,12367,フリフレ,Noesis,2009-04-03,70,348,1
450,9559,はるかぜどりに、とまりぎを。,SkyFish,2007-10-26,70,263,1
451,10468,魔界天使ジブリール -episode3-,FrontWing,2008-06-27,70,254,1
452,42,戦女神,エウシュリー,1999-01-29,70,239,1
453,3274,闘神都市,ALICESOFT,1990-12-15,70,230,1
454,4517,へんし～ん!2,May-Be Soft(有限会社リエーブル),2005-03-18,70,216,1
455,3999,虹を見つけたら教えて。,ACTRESS,2004-10-29,70,213,1
456,15203,戦国天使ジブリール,FrontWing,2011-07-29,70,188,1
457,2886,ドキドキお姉さん,アトリエかぐや,2003-07-25,70,187,1
458,2779,人妻コスプレ喫茶,アトリエかぐや,2003-05-30,70,179,1
459,2414,for elise ～エリーゼのために～,CRAFTWORK,1996-12-06,70,168,1
460,21248,対魔忍ユキカゼ2,Black Lilith,2015-05-29,70,166,1
461,8404,らぶデス2 ～Realtime Lovers～,TEATIME,2007-08-31,70,166,2
462,15925,妹調教日記 ～こんなツンデレが俺の妹なわけない!～,NANACAN,2011-08-14,70,152,1
463,20856,憑夜ノ村,アストロノーツ・コメット,2014-11-28,70,142,1
464,15406,禁断の病棟 特殊精神科医 遊佐惣介の診察記録,アトリエかぐや,2011-07-29,70,140,1
465,9303,痴漢専用車両 ～屈辱の痴漢電車～,Frill,2007-09-28,70,135,1
466,12730,黄昏に煌く銀の繰眼,CLOCKUP,2009-08-28,70,132,3
467,20515,妹寝取り ～身も心もお兄ちゃんのもの～,クレージュA,2014-05-30,70,130,6
468,9956,Chu×Chuぱらだいす ～Encore Live～,UNiSONSHIFT Accent.,2007-11-22,70,130,1
469,13594,黒獣 ～気高き聖女は白濁に染まる～,Liquid,2010-04-23,70,125,1
470,24346,略奪者の淫宴,あかべぇそふとすりぃ,2016-11-25,70,120,1
471,14899,規制不可 ～俺は実在しないので、ナニをヤッても許される～,ALL-TiME,2011-04-08,70,119,2
472,7950,プリンセスナイト☆カチュア ～堕ちた竜騎姫～,わるきゅ～れ,2007-07-27,70,116,1
473,18791,催眠演舞,スタッフィング,2013-09-27,70,114,2
474,12903,桃華散る ～少女剣士の報復は慟哭に満ちて～,アイル,2009-09-18,70,113,1
475,17176,JC拉致監禁レイプ ～気になる○学生は僕専用の生オナホール～,クレージュA,2012-06-01,70,111,5
476,10378,輪姦倶楽部,ANIME LiLiTH,2008-03-21,70,101,1
477,3378,最終痴漢電車 DVD EDITION,アトリエかぐや,2004-03-26,70,99,2
478,15896,誰が殺したコマドリを,スマイル戦機,2011-08-13,70,95,2
479,7147,妻とママとボイン,G.J?,2006-04-28,70,92,1
480,10952,娼姫レティシア ～今宵、王女は春を売る～,catwalkNERO,2008-07-25,70,90,2
481,9464,俺は彼女を信じてる! ～遠距離恋愛のススメ～,ルネTeamBitters,2007-07-27,70,88,2
482,8719,しおふきマーメイド「だめ、コーチ! なにか出ちゃうぅ!」,マリン,2007-03-30,70,86,1
483,6079,輪[妹]姦 ～傷モノの妹～,RaSeN,2005-08-12,70,85,2
484,964,ハーレムブレイド,戯画,1996-04-26,70,83,1
485,15319,裏教師 ～背徳の淫悦授業～,BISHOP,2011-08-05,70,79,1
486,30157,同級生 リメイク,FANZA GAMES,2021-02-26,70,76,1
487,17079,受胎島 「どうしてアンタみたいなブサ男に種付けされなきゃいけないのよ?!」,ルネ,2012-07-27,70,76,2
488,20254,新・他の男の精液で孕んでもいいですか…? 浮気Hがあまりに気持ちよくて、挿入されただけですぐにイっちゃうカタブツ女子校生,アトリエさくら Team.NTR,2014-06-27,70,72,5
489,17592,姉母娘でイクッ! ～大好きな姉を奪ったくせに浮気を続けるクズ旦那から姉の娘と共にネトリ返す～,アトリエかぐや,2012-10-26,70,69,12
490,19474,ねえちゃん、もう出ちゃうよ! ～淫姉は俺の愛玩具～,INTERHEART,2013-11-29,70,68,4
491,8492,夜勤病棟 復刻版+,Mink,2006-12-22,70,68,1
492,29485,嫁の妹とえっちな関係になってヤバい!?,ぱちぱちそふと,2020-06-26,70,67,1
493,23827,彼には言えない恥辱の関係 ～ごめんね、わたし先生のものにされちゃった……～,クレージュA,2016-07-29,70,67,8
494,15079,愛する妻、玲奈の浮気告白 『お、俺より気持ち良かったのか…?』→『…うん。凄かった』,アトリエさくら Team.NTR,2011-04-22,70,66,1
495,9952,妻の母さゆり,CATTLEYA,2008-04-25,70,66,2
496,17388,おれつま! ～オレがマンション管理人になったら人妻達とちょっとイイコトできちゃうかも!?～,CLOCKUP,2012-09-28,70,66,4
497,17251,特別授業3SLG,BISHOP,2012-09-28,70,64,1
498,21401,エンジェルゲーム,アトリエさくら Team.NTR,2015-02-27,70,63,3
499,30195,催眠学習 Secret Desire,だーくワン!,2021-03-26,70,59,2
500,21535,Trippers. -彼女との学園生活を破壊する、1通の手紙-,Lamia,2015-04-24,70,58,2
501,7820,催眠学園DVD with 催眠術,BLACKRAINBOW,2006-06-30,70,56,1
502,22302,彼女の肢体に付いたアイツの唇痕 ～幼馴染みの巨乳彼女は先輩の大きな腕に包まれ淫蕩けた笑みを浮かべる～,ANIM.teamMM,2015-10-23,70,54,1
503,17876,奥様は元ヤリマン -Besluted-,ORCSOFT,2012-12-07,70,53,2
504,20320,お隣の黒人夫に抱かれて啼き悶える最愛の妻。その引き換えに味わう黒人妻の肌。-Big Black Cock＆Big Black Butt＆My Sweet Wife-,ORCSOFT,2014-04-25,70,53,7
505,9555,Reversible,EGIS,2007-07-20,70,51,2
506,19335,館 ～官能奇譚～,BISHOP,2013-10-25,70,50,1
507,19189,巨乳家族催眠「家族なんだから、セックスするのは当たり前よね……」,ルネ,2013-08-30,70,49,2
508,21267,墜落人生 ～清楚お嬢様のヤクキメタコ部屋売春ライフ～,pin-point,2014-11-28,70,49,1
509,36544,カノジョの親友にカラダで誘惑されるヒミツの関係,AMUSE CRAFT EROTICA,2024-08-30,70,47,2
510,10324,息子の友達に犯されて,Anim,2008-02-01,70,47,1
511,15738,冒険者の町を作ろう!,玉藻スタジオ,2011-08-13,70,46,1
512,4126,白衣のご奉仕,U・Me SOFT,2004-11-05,70,45,1
513,18135,ドラゴンアカデミー,SPLUSH WAVE,2012-12-31,70,45,1
514,26562,プレイ! プレイ! プレイ! GO!,わるきゅ～れ,2018-05-25,70,45,1
515,2879,人妻♪かすみさん ～母娘と共同性活～,TinkerBell,2003-07-18,70,45,2
516,6887,demiparadoxia ∽ hookerstic 南下編,Autobahn,2005-12-30,70,43,1
517,24249,いつまでも僕だけのママのままでいて! ～ああ、良いよママ! もっともっとしゃぶらせて!! デリバリーママがストライクゾーン過ぎてボクの股間はもう限界!!!～,Anim M&W(Anim Mother&Wife),2017-02-24,70,43,2
518,32999,SACRIFICE VILLAINS,CLOCKUP,2023-02-24,70,41,1
519,13909,未亡人沙苗「私が初めてでいいの……?」,CATTLEYA,2010-07-23,70,41,1
520,10263,学食のおばさん ～母さんの汁の味～,Guilty+,2007-12-21,70,41,1
521,27257,愛する妻、真理子の不倫報告 ～夫公認のガチ不倫SEX～,アトリエさくら Team.NTR,2018-11-30,70,41,1
522,20349,寝トリ学園 ～彼氏持ちでもお構いなし! ヤりたい放題ADV～,INTERHEART,2014-05-30,70,39,3
523,11357,アルタードピンク ～特務戦隊デュエルレンジャー～,BLACKRAINBOW,2008-09-26,70,39,1
524,10723,妻ようじ2 ～ボクは人妻添乗員～,しらたま,2008-05-23,70,38,2
525,24765,堕とされた美姉妹 ～どうかその娘だけは助けて下さい～,シルキーズSAKURA,2017-04-28,70,38,2
526,22705,俺のセフレは処女ビッチ!?,Blue Devil,2015-10-31,70,37,2
527,22301,新・他の男の精液で孕んでもいいですか…？2 全身汗だく浮気セックスで妊娠したウェディングプランナーの婚約者,アトリエさくら Team.NTR,2015-09-25,70,37,5
528,5137,くろふぁん2GHz,CLOCKUP,2006-07-28,70,37,1
529,880,浪漫珠 ～ろまんす～,Angel Smile,2000-10-13,70,36,1
530,7686,人妻搾乳飯店,マリン,2006-06-30,70,36,3
531,13273,絶望師,Anim,2010-02-12,70,35,1
532,26607,ヤリチン家庭教師ネトリ報告 ～ドスケベ巨乳母娘丼～,DWARFSOFT,2018-04-13,70,35,1
533,19956,元ヤンの奥さんは好きですか? ～強気な人妻とエッチで勝負! セクシー妻もいるよ～,平安亭,2013-12-31,70,35,1
534,8489,熟母喰い ～元グラドルのお母さん～,Guilty+,2006-12-29,70,34,2
535,16657,或ル家族ノ姦系図,TinkerBell,2012-04-20,70,34,2
536,8169,とりかえっ娘しよッ! ～彼氏彼女の秘密の関係～,SUNLITE,2006-11-22,70,33,1
537,3530,DE・JAマルチパック,elf,2004-05-28,70,33,1
538,18933,メイクMeラバー,KISS,2014-07-25,70,33,2
539,27152,背徳と欲望の間で ～罪悪に濡れるオンナ～,シルキーズSAKURA,2018-12-14,70,32,1
540,12794,愛娘という名の玩具,Anim,2009-12-11,70,32,1
541,17827,ヴァージン・ロード,雨傘日傘事務所,2012-11-10,70,32,3
542,25830,彼女が野球部の性処理マネージャーに… ～体育会系セックスで寝取られて～,pin-point,2018-01-26,70,32,1
543,14520,ナンパ生ハメ 中出し万歳3,U・Me SOFT,2010-11-05,70,31,2
544,7472,洗濯屋しんちゃん,BLACK PACKAGE,2006-04-14,70,30,1
545,21355,美佐子37歳 ～童貞大学生×普通の主婦～,α-MODEL,2014-12-05,70,28,3
546,17116,兄貴の妻は俺の肉妻 ～夫には見せない淫らな貌を義弟に晒す巨乳若妻～,ANIM.teamMM,2012-08-24,70,28,2
547,4140,人妻♪かすみさん2 奥様・未亡人オーナーと共同性活,TinkerBell,2004-10-15,70,27,1
548,25978,饗宴の赤 ～読心調教録～,CLOCKUP,2017-11-24,70,27,1
549,12251,同僚の奥さん ～ネトリ妻、ネトラレ妻～,Guilty+,2009-02-27,70,27,2
550,22886,イケナイ子作り3 ～息子の恋人が魅力的で困ってます～,エロイット,2016-01-29,70,26,2
551,34601,僕がいない間に変貌えられた妻の秘肉 ～ラブラブ新婚妻は他の男に抱かれ淫らに喘ぐ夢を見るか～,ANIM.teamMM,2023-09-29,70,26,3
552,25600,新・他の男の精液で孕んでもいいですか…? 3 浮気手記に綴られた快楽の爪痕,アトリエさくら Team.NTR,2017-09-29,70,26,1
553,15590,ナンパ生ハメ 中出し万歳4,U・Me SOFT,2011-08-05,70,25,3
554,13717,彼女の母親 ～ウチの娘だと思って…ね?～,極フェロ,2010-03-19,70,25,1
555,20541,熟バレー ～シゴキ扱かれる熟れた人妻達～,アトリエかぐや,2014-07-25,70,25,2
556,29036,世話焼き奥さんで人の頼みを断れない亜衣さんにお願いして中出しハメ放題のドスケベ妻になってもらった,pin-point,2020-02-28,70,25,1
557,26678,リラクゼーション優美 ～貴方だけの秘密の癒し～,HERENCIA,2018-06-29,70,25,1
558,21645,奪again ～人の妻、また売ります～,スタジオ奪,2015-04-03,70,25,2
559,28509,求婚催眠 ～私、絶対に浮気なんてしません～,include,2020-06-26,70,25,3
560,28633,巨乳女戦士・土下座催眠「ちくしょうっ……アタシはお前の思い通りになんか、ならないからな……!」,ルネ,2019-12-27,70,24,1
561,26932,新人20歳のお姉ちゃんAVデビュー!! 悠木倫2 俺のねーちゃんは激イキ巨乳のAV女優,アトリエさくら eXtra,2018-08-31,70,24,1
562,25375,爆乳人妻戦士ピュア・メイデン ～現役復帰した美少女戦士の熟れムチボディをチン負けさせて寝取り孕ませオナホハーレム化!～,Miel,2017-05-26,70,23,3
563,20636,人妻教師は元魔法少女 ～教え子の僕がオトナの女を寝取り堕とす～,魔法使いソフト,2014-06-20,70,23,5
564,25439,あまいえ,boot UP!,2017-09-29,70,23,2
565,30000,メスつまみ ～世話焼き年上妻と真面目なツンツン妻との愛欲性活～,Anim,2021-01-29,70,23,1
566,26850,俺の妹は清純ビッチ ～親には秘密のハメハメ性活～,アンモライト,2018-08-31,70,22,3
567,19415,冒険者の町を作ろう! II,玉藻スタジオ,2013-08-10,70,22,2
568,31977,ギャル妻・アンリの寝取らせプレイ ～他の男の物を咥え、楽しそうに報告をする俺の妻～,アトリエさくら,2022-02-25,70,21,1
569,22386,人妻スイミング倶楽部,INTERHEART glossy,2015-11-27,70,21,1
570,25212,義母の滴 ～湿った肌から香り立つ甘い色香～,TinkerBell,2017-09-29,70,21,1
571,24229,巨乳大家族催眠「家族みんなでイキまくるセックスがやめられないのぉ」,ルネ,2016-12-22,70,21,1
572,23743,姉姉W催眠 ～催眠装置で巨乳姉どもに強制中出し、鬼畜寝取りで孕ませてやる!～,POISON,2016-08-26,70,20,2
573,18165,催眠カウンセラー ～元上司のJK娘を堕とす報復の肉穴催眠～,ANIM.teamMM,2013-03-29,70,20,1
574,22668,催眠貴族,クリメニア,2015-10-29,70,20,1
575,27551,巨乳ギャルMC交際「こんなオジサンチ○ポに逆らえないなんて……マジありえないっ!」,ルネ,2019-03-29,70,20,1
576,23922,お義父さんの子種で孕ませて!,Blue Devil,2016-08-14,70,18,1
577,19273,夫の前で●されて… アニメーション追加完全版,elf,2009-08-28,70,18,1
578,20497,ぴゅあよめ,LaBit Soft,2014-05-23,70,18,1
579,21902,淑母の疼き2 ～熟れた人妻から漂う“女”の色香～,TinkerBell,2015-09-18,70,17,1
580,24954,手籠めにされる九人の堕女 The Motion,Guilty,2017-04-28,70,17,1
581,25972,母感 ～義母さんの子宮は誰のモノ?～,エロイット,2017-12-22,70,16,1
582,23515,僕の大好きな叔母さん,エロイット,2016-05-27,70,16,3
583,36162,友達ん棒で淫らな汁を溢れさせる母の熟れた蜜穴 ～巨乳を揺らし身悶える母さんの喘ぎ声は、隣の僕の部屋まで響き渡る～,ANIM.teamMM,2024-06-28,70,16,2
584,27947,死神娼館 ～ 宿屋の主人に転生して女冒険者にいろいろするRPG,サークル冥魅亭,2020-02-21,70,16,1
585,33298,ナイショの姦淫 ～真夏の汗だく交尾～,Waffle,2022-11-25,70,16,1
586,20580,牝教師 ～淫辱の教室～ インモラルエディション,BISHOP,2014-06-27,70,15,3
587,31614,催淫サロン ～夫の知らぬ間に孕ませリベンジされる妻～,Waffle,2021-11-26,70,15,2
588,15048,真・NOZOKI魔 ～下宿屋姦視24時～,MAIKA,2011-07-29,70,14,1
589,27675,兄嫁セックス ～俺に抱かれるエロい義姉とのエッチ生活～,アトリエさくら Team.NTR,2019-03-29,70,14,1
590,30153,夫を愛する爆乳人妻たちが年下のサル性欲に蹂躙されて都合のいい孕み玩具に堕ちるまで,Miel,2020-11-27,70,14,2
591,27062,ままはは2,boot UP!,2018-09-28,70,13,1
592,16992,魔館の淫嬢,BLACK PACKAGE TRY,2012-06-15,70,12,2
593,21364,万引娘桃色性裁 万引きした幼な妻に生ハメ中出し!!,RED-ZONE,2015-01-30,70,11,1
594,26222,ヒトヅマサイミンカウンセリング,INTERHEART glossy,2018-03-30,70,11,1
595,22834,魔将姫ティルアーナ孕ませ催眠 ～人間を虐げる魔族の姫が暗示一つで肉玩具になる～,Miel,2015-12-04,70,10,1
596,20711,アナタごめんなさい、ワタシもう…。,DOUJIN3ARIES,2014-06-16,70,9,2
597,25406,龍堂寺士門の淫謀 アニメ追加版,Mink,2017-05-26,70,9,1
